engine,stock,entry_date,entry_price,exit_date,exit_price,shares,gross_return_pct,net_return_pct,pnl_twd,exit_reason
Main,8996,20251031,624.0,20251128,580.3199999999999,36,-17.467948717948715,-7.4425,-1674,stop_loss
Main,1316,20251107,15.0,20251205,15.15,1849,1.0000000000000024,0.5575000000000024,155,hold_period
Main,2515,20251107,17.0,20251205,15.809999999999999,1631,-18.823529411764703,-7.4425,-2067,stop_loss
Main,3006,20251107,95.0,20251205,88.35,291,-15.789473684210526,-7.4425,-2060,stop_loss
Main,3543,20251107,49.3,20251205,46.8,562,-5.070993914807302,-5.513493914807302,-1530,hold_period
Main,6138,20251107,229.5,20251205,228.5,120,-0.4357298474945534,-0.8782298474945534,-242,hold_period
Main,8103,20251107,71.1,20251205,71.1,390,0.0,-0.4425,-123,hold_period
Main,8111,20251107,66.5,20251205,70.7,417,6.315789473684215,5.873289473684215,1631,hold_period
Main,2515,20251114,16.5,20251212,15.344999999999999,3025,-22.42424242424242,-7.4425,-3720,stop_loss
Main,6138,20251114,238.5,20251212,221.80499999999998,209,-8.176100628930817,-7.4425,-3715,stop_loss
Main,6274,20251114,397.5,20251212,443.0,125,11.446540880503145,11.004040880503144,5475,hold_period
Main,8112,20251114,76.5,20251212,73.4,652,-4.052287581699339,-4.494787581699339,-2245,hold_period
Main,6531,20250926,320.0,20251219,382.5,70,19.53125,19.08875,4282,trailing_stop
Main,2421,20251121,174.5,20251219,162.285,204,-10.028653295128938,-7.4425,-2653,stop_loss
Main,2515,20251121,14.75,20251219,13.7175,2417,-9.830508474576266,-7.4425,-2657,stop_loss
Main,5351,20251121,39.7,20251219,39.4,898,-0.7556675062972399,-1.19816750629724,-428,hold_period
Main,6274,20251121,392.5,20251219,427.0,90,8.789808917197451,8.34730891719745,2953,hold_period
Main,2515,20251128,14.45,20251226,13.5,2159,-6.574394463667815,-7.016894463667815,-2192,hold_period
Main,2731,20251128,173.5,20251226,166.0,179,-4.322766570605188,-4.7652665706051875,-1482,hold_period
Main,3443,20251128,2260.0,20251226,2115.0,13,-6.415929203539823,-6.858429203539823,-2018,hold_period
Main,5351,20251128,39.5,20251226,43.8,790,10.886075949367081,10.44357594936708,3264,hold_period
Main,8043,20251128,78.6,20251226,90.0,397,14.503816793893137,14.061316793893136,4394,hold_period
Main,1795,20251205,297.5,20260102,282.0,93,-5.2100840336134455,-5.652584033613445,-1566,hold_period
Main,2468,20251205,43.6,20260102,41.35,636,-5.160550458715596,-5.603050458715596,-1556,hold_period
Main,4903,20251205,42.95,20260102,42.75,645,-0.46565774155996004,-0.90815774155996,-252,hold_period
Main,5425,20251205,57.3,20260102,53.288999999999994,484,-9.773123909249554,-7.4425,-2067,stop_loss
Main,5515,20251205,32.3,20260102,36.05,858,11.609907120743035,11.167407120743034,3099,hold_period
Main,8390,20251205,81.4,20260102,92.2,340,13.267813267813263,12.825313267813263,3555,hold_period
Main,8054,20251031,125.0,20260109,120.5,181,-3.5999999999999996,-4.0424999999999995,-916,trailing_stop
Main,6706,20251128,88.9,20260109,120.5,351,35.545556805399315,35.10305680539931,10969,trailing_stop
Main,1560,20251212,369.0,20260109,409.5,67,10.975609756097562,10.533109756097561,2608,hold_period
